"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 12 22:46:16 EET 2020","Sun Jan 12 22:47:32 EET 2020","76243","","As a customer, I should be able to view ""Recently Viewed"" section of a product","","[Venus] User can click ""Recently Viewed"" tab and navigate to product page","","[Venus] User can click ""Recently Viewed"" tab and navigate to product page","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_RecentlyViewed.feature:116"
"passed","Sun Jan 12 22:22:30 EET 2020","Sun Jan 12 22:23:24 EET 2020","53952","","As a customer, after I've selected my product options (eg. color and size), I can click on ""Add to Bag"" to add the product to my bag/cart.","","[Venus] User navigates to Clothing Tops PLP and add random product to back to check stability of PWA","","[Venus] User navigates to Clothing Tops PLP and add random product to back to check stability of PWA","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_ATB.feature:206"
"passed","Sun Jan 12 23:22:34 EET 2020","Sun Jan 12 23:23:30 EET 2020","55988","","As a customer, I can click on the ""remove"" link next to a product and remove it from my cart.","","[Venus] User can remove any products from cart by taping ""remove"" CTA","","[Venus] User can remove any products from cart by taping ""remove"" CTA","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Shopping bag/ShopBag_RemoveProduct.feature:43"
"passed","Sun Jan 12 23:24:08 EET 2020","Sun Jan 12 23:24:24 EET 2020","15841","","As user I want to see product landing page and interact with elements on this page","","[Venus] User can see ""go to cart"" pop up when adding product to cart from product landing page, and user can navigate to cart page to see added product","","[Venus] User can see ""go to cart"" pop up when adding product to cart from product landing page, and user can navigate to cart page to see added product","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Specific Pages/SpecPage_Prod_Landing.feature:129"
"passed","Sun Jan 12 22:39:56 EET 2020","Sun Jan 12 22:43:02 EET 2020","185735","","As a customer, I should be able to view ""Recommended For You"" section of a product as a carousel","","[Venus] User navigates to PDP from ""Recommended for you"" section up to 10 times to check stability of PWA","","[Venus] User navigates to PDP from ""Recommended for you"" section up to 10 times to check stability of PWA","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_ProRec_Caro.feature:108"
"passed","Sun Jan 12 22:13:36 EET 2020","Sun Jan 12 22:14:31 EET 2020","54371","","As a customer, I can click on the hamburger menu to open up the mobile navigation.","","[Venus] User can see all corresponding menu items in hamburger menu","","[Venus] User can see all corresponding menu items in hamburger menu","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Navigation Menu/NAVI_Ham_Icn.feature:169"
"passed","Sun Jan 12 23:09:41 EET 2020","Sun Jan 12 23:10:47 EET 2020","65844","","As a customer, I can proceed to checkout by clicking an appropriate button.","","[Venus] User can proceed to checkout with item in cart by taping appropriate CTA button","","[Venus] User can proceed to checkout with item in cart by taping appropriate CTA button","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Shopping bag/ShopBag_ClickToCheckout.feature:140"
"passed","Sun Jan 12 22:29:24 EET 2020","Sun Jan 12 22:29:57 EET 2020","32932","","As a customer, I should be able to view ""Complete The Look"" section of a product as a carousel","","[Venus] User can see ""Complete The Look"" section with list of related products","","[Venus] User can see ""Complete The Look"" section with list of related products","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_CompleteLook_Caro.feature:63"
"passed","Sun Jan 12 22:26:32 EET 2020","Sun Jan 12 22:26:56 EET 2020","23347","","As a customer, I can swipe the product image carousel to see more product images.","","[Venus] User can see product images carousel and can swipe images","","[Venus] User can see product images carousel and can swipe images","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/PDP Product Details Page/PDP_Caro.feature:34"
"passed","Sun Jan 12 23:14:33 EET 2020","Sun Jan 12 23:16:40 EET 2020","127084","","As a customer, I should be able to see the cost summary on the page with the following info:","","[Venus] User can see summary cost is changing if user change items quantity or removing items from cart","","[Venus] User can see summary cost is changing if user change items quantity or removing items from cart","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Shopping bag/ShopBag_CostSummary.feature:91"
"passed","Sun Jan 12 22:06:49 EET 2020","Sun Jan 12 22:07:45 EET 2020","55403","","As a customer, I can click on the shopping bag icon and be taken to the shopping bag page.","","[Venus] User can see number of added to cart items near shopping bag icon on header","","[Venus] User can see number of added to cart items near shopping bag icon on header","Location - /Users/tempuser/IdeaProjects/mw-automation-framework/features/regression/Baseline features/Header/HDR_Shop_Bag.feature:122"
